user,playtime,post_date,helpfulness,review_text,recommend,early_access_review
DrShocktopus,36.0,"August 19, 2024",8190,"Beat the first boss which is the one in the trailer, the white wolf.And I have to say, so far really enjoying the game.It's basically a Chinese God of War (2018) and the Jedi Fallen series, and like those games it has some soulsborne influences, but doesn't lean too heavily into it. If you enjoyed God of War (2018) and the Jedi Fallen Order/Survivor, then you will definitely enjoy this, personally find this to be a bit more fun.",True,
MiAh The King,1.5,"August 19, 2024",7552,"Yes I'm aware that my thumbs up is never going to be seen by anyone. There is literally thousands of them. But what I'm NOT seeing is people actually talking about the game. At least at time of writing. Most people are talking about how good it looks, or how well it plays. Or vice versa. But no one talking about what the game is like. Or how it feels to play it. Is it worth my fricken money???Well let me help with that. Yes it's worth the money.It's a souls-like game despite it not having that tag on the steam store page. It plays similar to Jedi Fallen Order or God of War or Darksiders. It's a linear action game where if you die you go back to a resting point. If you rest at said resting point all enemies respawn as does your healing items. However unlike Dark Souls or Elden Ring you don't lose experience points, money or items when you die.But yes, the production value in this game is off the charts. It looks even more beautiful then it does on the steam store page. It sounds beautiful too. The gameplay is also fun, fluid and engaging. There's so much done right about this game that I hate to talk about whats wrong with it.For instance the tutorial is severely lacking. Barely teaches you anything. Or how there's little to no direction in the game. Unless i'm severely missing something. But After the first hour I was absolutely, completely. 100 percent lost. No idea where to go or what to do. The game is lacking in direction in pretty much every single definition of the word and I actually hate that.But if you can find your own way, don't mind really hard games and don't mind a character with no character or a plot with no plot then this game does everything else 110 percent perfect.So let that be your deciding factor I guess. I mean 60 dollars is still a lot of money, just know what you're getting into. But if this genre is what you're looking for then it's worth the money.If you'd like a more in-depth look at the game and what not feel free to check out my review on my YouTube Channel (link below).Otherwise, thanks so much for reading and I hope I managed to help some of you out there spend your money wisely.",True,
TLandry,25.0,"August 19, 2024",5142,"Visually stunning. Despite saying better on a controller, I actually like the gameplay on my mouse and keyboard. I'm not usually into this type of genre often but I am very much enjoying the story and especially the visuals. PURE EYE CANDY. Running on a 4080 Super @ 3440x1440 I'm getting a steady 60-80 fps with graphics set to 'cinematic', the highest it goes with RT set to High. No crashing or issues seen yet detected and game is running smoooth as butter.",True,
惊喜,37.6,"August 24, 2024",3827,"it is a pretty nice game, very good boss fights, excellent CGs with outstanding art. I'll give a 8.5 out of 10. We need bugs repairing and game playing optimization in future updates.",True,
Raul4dNx,93.6,"August 25, 2024",3569,---{ Game of the Year 2024 }------{Graphics}---☐ You forget what reality is☑ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{Gameplay}---☑ Very good☐ Good☐ It‘s just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{Audio}---☑ Eargasm☐ Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{Audience}---☐ Kids☐ Teens☐ Adults☑ All---{PC Requirements}---☐ Check if you can run paint☐ Potato☑ Decent☐ Fast☐ Rich boi☐ Ask NASA if they have a spare computer---{Difficulity}---☐ Just press 'W'☐ Easy☐ Significant brain usage☐ Easy to learn / Hard to master☑ Difficult☐ Dark Souls---{Grind}---☐ Nothing to grind☐ Only if you care about leaderboards/ranks☐ Isn't necessary to progress☑ Average grind level☐ Too much grind☐ You‘ll need a second life for grinding---{Story}---☐ No Story☐ Some lore☐ Average☐ Good☑ Lovely☐ It‘ll replace your life---{Game Time}---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{Price}---☐ It’s free!☑ Worth the price☐ If it's on sale☐ If you have some spare money left☐ Not recommended☐ You could also just burn your money---{Bugs}---☐ Never heard of☑ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ Cyberpunk 2077---{?/10}---☐1☐2☐3☐4☐5☐6☐7☐8☐9☑10,True,
Gantz,113.7,"August 20, 2024",3344,"Honestly I kept my expectations low because it seemed too good to be true especially being the first game from the studio but ♥♥♥♥♥♥♥♥ they nailed it. The combat I would say is more akin to something like God of War rather than a soulslike. It feels great to play, very responsive, a lot of different ways to play. The graphics are fantastic and the game runs well, have not had any crashes so far.",True,
Oplewi19,70.9,"August 31, 2024",3142,---{ Graphics }---🔲 Awful🔲 Bad🔲 Will do🔲 Decent (Nothing special)🔲 Stunning✅ Visual Masterpiece---{ Gameplay }---🔲 Bad🔲 Okay🔲 Nothing special🔲 Good🔲 Very good✅ Try not to get addicted---{ Audio }---🔲 Bad🔲 Not too bad🔲 Decent🔲 Good🔲 Beautiful✅ Masterpiece---{ PC Requirements }---🔲 Potato🔲 Decent🔲 Fast✅ High-end PC🔲 Ask NASA if they have a spare computer---{ Difficulty }---🔲 Just press a bunch of buttons🔲 Easy🔲 Significant brain usage🔲 Easy to learn / Hard to master🔲 Difficult✅ Dark Souls---{ Grind }---🔲 Nothing✅ Only if you care about 100%✅ Average grind level🔲 Too much grind🔲 Insanity---{ Story }---🔲 None/Not important in this game🔲 Bad🔲 Average🔲 Great✅ Well written🔲 One of the best i've had the pleasure of playing---{ Price }---🔲 Free🔲 Cheap🔲 Under priced✅ Acceptable price🔲 Overpriced🔲 Complete waste of money---{ Bugs }---🔲 Never heard of✅ Minor bugs🔲 Can get annoying🔲 Bugpocalypse: Proceed with caution---{ Length }---🔲 Very Short (0 - 4 hours)🔲 Short (4 - 10 hours)🔲 Average (10-30 hours)✅ Long (30-50 hours)🔲 Extremely long (50-100+ hours)✅ For 100%: 71 hours🔲 No ending---{ ? / 10 }---🔲 1🔲 2🔲 3🔲 4🔲 5🔲 6🔲 7🔲 8🔲 9✅ 10,True,
Faewolf,55.3,"September 5, 2024",2968,"Remember when a game was just a game? Apparently these devs do. This game is a single, complete, no nonsense game. No DLC bundles. No microtransactions, no battle passes, no live services, and no BS. Just a single game with a solid amount of content, (mostly) fair difficulty challenges, a good amount of secrets to unlock, a serviceable story, and fun gameplay. It certainly helps that Journey to the West is one of my favorite stories. Blame Dragonball Z for getting me into it. I only wish more games were like this.",True,
Zinitaro piki,8.8,"August 22, 2024",2872,---{ Graphics }---☑ You forget what reality is☐ Beautiful☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☑ Very good☐ Good☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☑ Eargasm☐Very good☐ Good☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Teens☑ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☐ Fast☑ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☑ Old Fashioned☐ Workable☐ Big☑ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☐ Easy to learn / Hard to master☑ Significant brain usage☐ Difficult☐ Dark Souls---{ Grind }---☐ Nothing to grind☐ Only if u care about leaderboards/ranks☑ Isn't necessary to progress☐ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☑ Some lore☐ Average☐ Good☑ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☑ Long☐ To infinity and beyond---{ Price }---☐ It's free!☑ Worth the price☐ If it's on sale☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☑ Never heard of☐ Minor bugs☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☐ 9☑ 10,True,
Jessica,29.0,"August 19, 2024",2636,---{ Graphics }---☐ You forget what reality is☑ Monke☐ Good☐ Decent☐ Bad☐ Don‘t look too long at it☐ MS-DOS---{ Gameplay }---☐ Very good☑ Monke☐ It's just gameplay☐ Mehh☐ Watch paint dry instead☐ Just don't---{ Audio }---☐ Eargasm☐ Very good☑ Monke☐ Not too bad☐ Bad☐ I'm now deaf---{ Audience }---☐ Kids☑ Monke☐ Adults☐ Grandma---{ PC Requirements }---☐ Check if you can run paint☐ Potato☐ Decent☑ Monke☐ Rich boi☐ Ask NASA if they have a spare computer---{ Game Size }---☐ Floppy Disk☐ Old Fashioned☑ Monke☐ Big☐ Will eat 10% of your 1TB hard drive☐ You will want an entire hard drive to hold it☐ You will need to invest in a black hole to hold all the data---{ Difficulty }---☐ Just press 'W'☐ Easy☑ Monke☐ Significant brain usage☐ Difficult☐ Dark Souls---{ Grind }---☑ Monke☐ Only if u care about leaderboards/ranks☐ Isn't necessary to progress☐ Average grind level☐ Too much grind☐ You'll need a second life for grinding---{ Story }---☐ No Story☐ Some lore☑ Monke☐ Good☐ Lovely☐ It'll replace your life---{ Game Time }---☐ Long enough for a cup of coffee☐ Short☐ Average☐ Long☑ Monke---{ Price }---☐ It's free!☐ Worth the price☑ Monke☐ If u have some spare money left☐ Not recommended☐ You could also just burn your money---{ Bugs }---☐ Never heard of☑ Monke☐ Can get annoying☐ ARK: Survival Evolved☐ The game itself is a big terrarium for bugs---{ ? / 10 }---☐ 1☐ 2☐ 3☐ 4☐ 5☐ 6☐ 7☐ 8☑ Monke☐ 10,True,
